Entry	Entry name	Length	Gene names  (ordered locus )	Gene ontology IDs	Cross-reference (InterPro)	Keywords	Keyword ID
P39163	CHAC_ECOLI	231	b1218 JW1209	GO:0003839; GO:0005737; GO:0006751; GO:0061928; GO:0071973	IPR006840;IPR013024;IPR036568;	Lyase;Reference proteome	KW-0456; KW-1185
P0ABM1	CCMC_ECOLI	245	b2199 JW2187	GO:0005886; GO:0005887; GO:0015232; GO:0015886; GO:0017004; GO:0020037	IPR002541;IPR003557;	Cell inner membrane;Cell membrane;Cytochrome c-type biogenesis;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0201; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P77445	EUTE_ECOLI	467	b2455 JW2439	GO:0004029; GO:0008774; GO:0046336	IPR012408;IPR016161;IPR016163;IPR016162;IPR015590;	Bacterial microcompartment;NAD;Oxidoreductase;Reference proteome	KW-0520; KW-0560; KW-1185; KW-1283
P64638	FEOC_ECOLI	78	b3410 JW3373	GO:0003677; GO:0005506; GO:0051536	IPR023732;IPR015102;IPR036388;IPR036390;	3D-structure;DNA-binding;Iron;Iron-sulfur;Metal-binding;Reference proteome;Repressor;Transcription;Transcription regulation	KW-0002; KW-0238; KW-0408; KW-0411; KW-0479; KW-0678; KW-0804; KW-0805; KW-1185
P0ABH0	FTSA_ECOLI	420	b0094 JW0092	GO:0005524; GO:0005829; GO:0009898; GO:0032153; GO:0042802; GO:0043093; GO:0051301	IPR043129;IPR020823;IPR003494;	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Membrane;Reference proteome	KW-0131; KW-0132; KW-0472; KW-0997; KW-1003; KW-1185
P75882	GFCD_ECOLI	698	b0984 JW0967	GO:0005886	IPR010344;	Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal	KW-0449; KW-0472; KW-0564; KW-0732; KW-1003; KW-1185
P32719	ALSE_ECOLI	231	b4085 JW4046	GO:0004750; GO:0005829; GO:0009052; GO:0019316; GO:0019323; GO:0034700; GO:0044262; GO:0046872	IPR013785;IPR043677;IPR000056;IPR011060;	3D-structure;Carbohydrate metabolism;Cobalt;Isomerase;Manganese;Metal-binding;Reference proteome;Zinc	KW-0002; KW-0119; KW-0170; KW-0413; KW-0464; KW-0479; KW-0862; KW-1185
P26458	APPB_ECOLI	378	b0979 JW0961	GO:0005886; GO:0006119; GO:0009055; GO:0009486; GO:0016021; GO:0016682; GO:0019646; GO:0046872; GO:0070069	IPR003317;	Cell inner membrane;Cell membrane;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport	KW-0249; KW-0349; KW-0408; KW-0472; KW-0479; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185; KW-1278
P15034	AMPP_ECOLI	441	b2908 JW2876	GO:0004177; GO:0005829; GO:0008233; GO:0008235; GO:0030145; GO:0042802; GO:0051289; GO:0070006	IPR007865;IPR029149;IPR036005;IPR000994;IPR001714;IPR001131;	3D-structure;Aminopeptidase;Cytoplasm;Direct protein sequencing;Hydrolase;Manganese;Metal-binding;Metalloprotease;Protease;Reference proteome	KW-0002; KW-0031; KW-0378; KW-0464; KW-0479; KW-0482; KW-0645; KW-0903; KW-0963; KW-1185
P28246	BCR_ECOLI	396	b2182 JW5363	GO:0005886; GO:0005887; GO:0015031; GO:0016021; GO:0033228; GO:0033229; GO:0035442; GO:0042910; GO:0046677; GO:0071916; GO:1990961	IPR004812;IPR011701;IPR020846;IPR036259;IPR004734;	Antibiotic resistance;Cell inner membrane;Cell membrane;Membrane;Peptide transport;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0046; KW-0472; KW-0571; KW-0653; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0AE85	CPXP_ECOLI	166	b4484 JW5558	GO:0030288; GO:0042802; GO:0051082; GO:1990507	IPR012899;	3D-structure;Periplasm;Reference proteome;Signal;Stress response	KW-0002; KW-0346; KW-0574; KW-0732; KW-1185
P0AE82	CPXA_ECOLI	457	b3911 JW3882	GO:0000155; GO:0004721; GO:0005524; GO:0005829; GO:0005886; GO:0005887; GO:0007165; GO:0009314; GO:0016021; GO:0018106; GO:0030288; GO:0036460; GO:0042802; GO:0043708; GO:0046777	IPR032404;IPR038515;IPR003660;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR004358;	3D-structure;ATP-binding;Cell adhesion;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	KW-0002; KW-0067; KW-0130; KW-0418; KW-0472; KW-0547; KW-0597; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185
P24251	CRL_ECOLI	133	b0240 JW0230	GO:0005737; GO:0045893	IPR009986;IPR038208;	Activator;Coiled coil;Cytoplasm;Direct protein sequencing;Reference proteome;Transcription;Transcription regulation	KW-0010; KW-0175; KW-0804; KW-0805; KW-0903; KW-0963; KW-1185
P0DM85	CRFC_ECOLI	742	b4109 JW4070	GO:0000027; GO:0005525; GO:0005829; GO:0006260; GO:0007059; GO:0043022	IPR022812;IPR030381;IPR027417;	Chromosome partition;Coiled coil;Cytoplasm;DNA replication;Reference proteome	KW-0159; KW-0175; KW-0235; KW-0963; KW-1185
A5A624	DINQ_ECOLI	27	b4613	GO:0005886; GO:0006974; GO:0016020; GO:0016021		Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P77694	ECPD_ECOLI	547	b0290 JW0284	GO:0009289		Fimbrium;Reference proteome;Signal	KW-0281; KW-0732; KW-1185
P0ADQ2	FABY_ECOLI	329	b3888 JW3859	GO:0004343; GO:0006048; GO:0006633; GO:0016747	IPR016181;IPR000182;IPR039143;IPR029069;IPR012660;	Acyltransferase;Lipid metabolism;Reference proteome;Transferase	KW-0012; KW-0443; KW-0808; KW-1185
P39280	EPMB_ECOLI	342	b4146 JW4106	GO:0016869; GO:0046872; GO:0051539	IPR013785;IPR022462;IPR003739;IPR007197;	4Fe-4S;Iron;Iron-sulfur;Isomerase;Metal-binding;Pyridoxal phosphate;Reference proteome;S-adenosyl-L-methionine	KW-0004; KW-0408; KW-0411; KW-0413; KW-0479; KW-0663; KW-0949; KW-1185
P77609	FLXA_ECOLI	110	b1566 JW1558		IPR025577;	Reference proteome	KW-1185
P0A9E5	FNR_ECOLI	250	b1334 JW1328	GO:0000976; GO:0001216; GO:0003677; GO:0003700; GO:0005829; GO:0006355; GO:0009061; GO:0032993; GO:0045893; GO:0046872; GO:0051536; GO:0051539; GO:0071731	IPR018490;IPR000595;IPR012318;IPR014710;IPR018335;IPR036388;IPR036390;	4Fe-4S;Activator;Cytoplasm;DNA-binding;Direct protein sequencing;Iron;Iron-sulfur;Metal-binding;Reference proteome;Repressor;Transcription;Transcription regulation	KW-0004; KW-0010; KW-0238; KW-0408; KW-0411; KW-0479; KW-0678; KW-0804; KW-0805; KW-0903; KW-0963; KW-1185
P0A9R4	FER_ECOLI	111	b2525 JW2509	GO:0005829; GO:0009055; GO:0016226; GO:0046872; GO:0051537	IPR036010;IPR001041;IPR001055;IPR018298;IPR012675;IPR011536;	2Fe-2S;3D-structure;Direct protein sequencing;Electron transport;Iron;Iron-sulfur;Metal-binding;Reference proteome;Transport	KW-0001; KW-0002; KW-0249; KW-0408; KW-0411; KW-0479; KW-0813; KW-0903; KW-1185
P06974	FLIM_ECOLI	334	b1945 JW1929	GO:0003774; GO:0005886; GO:0009425; GO:0050918; GO:0071973	IPR028976;IPR001689;IPR001543;IPR036429;	3D-structure;Bacterial flagellum;Cell inner membrane;Cell membrane;Chemotaxis;Flagellar rotation;Membrane;Reference proteome	KW-0002; KW-0145; KW-0283; KW-0472; KW-0975; KW-0997; KW-1003; KW-1185
P24216	FLID_ECOLI	468	b1924 JW1909	GO:0005576; GO:0007155; GO:0009421; GO:0009424; GO:0071973	IPR040026;IPR010809;IPR003481;	3D-structure;Bacterial flagellum;Coiled coil;Reference proteome;Secreted	KW-0002; KW-0175; KW-0964; KW-0975; KW-1185
P75780	FIU_ECOLI	760	b0805 JW0790	GO:0009279; GO:0015344; GO:0015891; GO:0016021; GO:0038023; GO:0042884; GO:0055072	IPR030148;IPR012910;IPR037066;IPR039423;IPR000531;IPR010916;IPR036942;IPR010105;	3D-structure;Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport	KW-0002; KW-0406; KW-0408; KW-0410; KW-0472; KW-0675; KW-0732; KW-0798; KW-0812; KW-0813; KW-0998; KW-1134; KW-1185
P23872	AES_ECOLI	319	b0476 JW0465	GO:0005737; GO:0008126; GO:0016787; GO:0034338; GO:0043433; GO:0051346	IPR029058;IPR013094;IPR023508;IPR002168;IPR033140;	3D-structure;Cytoplasm;Direct protein sequencing;Hydrolase;Reference proteome;Serine esterase	KW-0002; KW-0378; KW-0719; KW-0903; KW-0963; KW-1185
P31224	ACRB_ECOLI	1049	b0462 JW0451	GO:0005886; GO:0005887; GO:0015562; GO:0016020; GO:0030288; GO:0042802; GO:0042910; GO:1990281	IPR027463;IPR001036;IPR004764;	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0002; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0A9Q1	ARCA_ECOLI	238	b4401 JW4364	GO:0000156; GO:0000160; GO:0000976; GO:0001216; GO:0001217; GO:0003700; GO:0005829; GO:0006355; GO:0032993; GO:0042802; GO:0045892; GO:0045893	IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;	3D-structure;Activator;Cytoplasm;DNA-binding;Direct protein sequencing;Phosphoprotein;Reference proteome;Repressor;Transcription;Transcription regulation;Two-component regulatory system	KW-0002; KW-0010; KW-0238; KW-0597; KW-0678; KW-0804; KW-0805; KW-0902; KW-0903; KW-0963; KW-1185
P0AEC3	ARCB_ECOLI	778	b3210 JW5536	GO:0000155; GO:0004721; GO:0005524; GO:0005829; GO:0005886; GO:0005887; GO:0006355; GO:0007165; GO:0018106; GO:0046777; GO:0070482	IPR027460;IPR011006;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR040642;IPR036641;IPR000014;IPR000700;IPR035965;IPR013767;IPR004358;IPR008207;IPR014409;IPR001789;	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	KW-0002; KW-0067; KW-0418; KW-0472; KW-0547; KW-0597; KW-0804; KW-0805; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185
P0DTT0	BIPA_ECOLI	607	b3871 JW5571	GO:0000027; GO:0000049; GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0043022	IPR035651;IPR035647;IPR000640;IPR004161;IPR031157;IPR027417;IPR005225;IPR000795;IPR009000;IPR042116;IPR006298;	3D-structure;Chaperone;Cytoplasm;Direct protein sequencing;GTP-binding;Hydrolase;Nucleotide-binding;RNA-binding;Reference proteome;Ribosome biogenesis;rRNA-binding;tRNA-binding	KW-0002; KW-0143; KW-0342; KW-0378; KW-0547; KW-0690; KW-0694; KW-0699; KW-0820; KW-0903; KW-0963; KW-1185
P75980	BEEE_ECOLI	157	b1151 JW1137		IPR006944;	Reference proteome	KW-1185
P37047	CDAR_ECOLI	385	b0162 JW5013	GO:0003700; GO:0045893	IPR041522;IPR008599;IPR025736;IPR042070;	Reference proteome;Transcription;Transcription regulation	KW-0804; KW-0805; KW-1185
P16701	CYST_ECOLI	277	b2424 JW2417	GO:0005886; GO:0008272; GO:0015419; GO:0016021	IPR011865;IPR000515;IPR035906;IPR005667;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Sulfate transport;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0764; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0ABI8	CYOB_ECOLI	663	b0431 JW0421	GO:0004129; GO:0005507; GO:0005886; GO:0005887; GO:0009055; GO:0009060; GO:0009319; GO:0009486; GO:0015078; GO:0015453; GO:0015990; GO:0016682; GO:0019646; GO:0020037; GO:0022904; GO:0048039; GO:0070469	IPR023616;IPR036927;IPR000883;IPR023615;IPR014207;	3D-structure;Cell inner membrane;Cell membrane;Copper;Electron transport;Heme;Hydrogen ion transport;Ion transport;Iron;Membrane;Metal-binding;Reference proteome;Respiratory chain;Translocase;Transmembrane;Transmembrane helix;Transport	KW-0002; KW-0186; KW-0249; KW-0349; KW-0375; KW-0406; KW-0408; KW-0472; KW-0479; KW-0679; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185; KW-1278
P08550	CVPA_ECOLI	162	b2313 JW2310	GO:0005886; GO:0009403; GO:0016021	IPR003825;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P37195	DCTR_ECOLI	176	b3507 JW3475	GO:0003677; GO:0006355; GO:0043471	IPR016032;IPR000792;IPR036388;	DNA-binding;Reference proteome;Transcription;Transcription regulation	KW-0238; KW-0804; KW-0805; KW-1185
P0C0V0	DEGP_ECOLI	474	b0161 JW0157	GO:0004252; GO:0005886; GO:0006457; GO:0006508; GO:0006515; GO:0006979; GO:0008233; GO:0008236; GO:0009266; GO:0009408; GO:0030288; GO:0042802; GO:0061077	IPR001478;IPR036034;IPR011782;IPR009003;IPR001940;	3D-structure;Cell inner membrane;Cell membrane;Direct protein sequencing;Disulfide bond;Hydrolase;Membrane;Protease;Reference proteome;Repeat;Serine protease;Signal;Stress response	KW-0002; KW-0346; KW-0378; KW-0472; KW-0645; KW-0677; KW-0720; KW-0732; KW-0903; KW-0997; KW-1003; KW-1015; KW-1185
P66817	DIAA_ECOLI	196	b3149 JW3118	GO:0006260; GO:0032298; GO:0042802; GO:0097367; GO:1901135	IPR023070;IPR035461;IPR001347;	3D-structure;DNA replication;Direct protein sequencing;Reference proteome	KW-0002; KW-0235; KW-0903; KW-1185
P76015	DHAK_ECOLI	356	b1200 JW5187	GO:0004371; GO:0005829; GO:0006974; GO:0019563; GO:0042182; GO:0042802; GO:0046365; GO:0047324; GO:0061610	IPR012736;IPR004006;	3D-structure;Glycerol metabolism;Kinase;Reference proteome;Transferase	KW-0002; KW-0319; KW-0418; KW-0808; KW-1185
P77488	DXS_ECOLI	620	b0420 JW0410	GO:0000287; GO:0005829; GO:0006744; GO:0008299; GO:0008615; GO:0008661; GO:0009228; GO:0016114; GO:0016744; GO:0019288; GO:0030976; GO:0052865	IPR005477;IPR029061;IPR009014;IPR005475;IPR020826;IPR033248;IPR005474;	3D-structure;Direct protein sequencing;Isoprene biosynthesis;Magnesium;Metal-binding;Reference proteome;Thiamine biosynthesis;Thiamine pyrophosphate;Transferase	KW-0002; KW-0414; KW-0460; KW-0479; KW-0784; KW-0786; KW-0808; KW-0903; KW-1185
P0ABQ4	DYR_ECOLI	159	b0048 JW0047	GO:0004146; GO:0005542; GO:0005829; GO:0006545; GO:0006730; GO:0031427; GO:0042493; GO:0046452; GO:0046654; GO:0046655; GO:0046677; GO:0050661; GO:0051870; GO:0051871; GO:0070401; GO:0070402	IPR012259;IPR024072;IPR017925;IPR001796;	3D-structure;Antibiotic resistance;Direct protein sequencing;Methotrexate resistance;NADP;One-carbon metabolism;Oxidoreductase;Reference proteome;Trimethoprim resistance	KW-0002; KW-0046; KW-0487; KW-0521; KW-0554; KW-0560; KW-0817; KW-0903; KW-1185
P66899	DPAL_ECOLI	398	b2871 JW2839	GO:0008838; GO:0009063; GO:0030170	IPR010081;IPR019871;IPR001926;IPR036052;	3D-structure;Disulfide bond;Lyase;Pyridoxal phosphate;Reference proteome	KW-0002; KW-0456; KW-0663; KW-1015; KW-1185
P0A959	ALAA_ECOLI	405	b2290 JW2287	GO:0004021; GO:0005737; GO:0006523; GO:0006974; GO:0008483; GO:0019272; GO:0030170; GO:0030632; GO:0046677	IPR004839;IPR015424;IPR015422;IPR015421;	3D-structure;Aminotransferase;Cytoplasm;Pyridoxal phosphate;Reference proteome;Transferase	KW-0002; KW-0032; KW-0663; KW-0808; KW-0963; KW-1185
P27250	AHR_ECOLI	339	b4269 JW5761	GO:0006631; GO:0008106; GO:0008270; GO:0016616	IPR013149;IPR013154;IPR002328;IPR029752;IPR011032;IPR036291;IPR020843;	3D-structure;Fatty acid metabolism;Lipid metabolism;Metal-binding;NADP;Oxidoreductase;Reference proteome;Zinc	KW-0002; KW-0276; KW-0443; KW-0479; KW-0521; KW-0560; KW-0862; KW-1185
P76215	ASTE_ECOLI	322	b1744 JW1733	GO:0005829; GO:0008270; GO:0009017; GO:0016788; GO:0016811; GO:0019544; GO:0019545	IPR007036;IPR016681;	3D-structure;Arginine metabolism;Hydrolase;Metal-binding;Reference proteome;Stress response;Zinc	KW-0002; KW-0056; KW-0346; KW-0378; KW-0479; KW-0862; KW-1185
P0AAE8	CADB_ECOLI	444	b4132 JW4093	GO:0005886; GO:0005887; GO:0015295; GO:0015297; GO:0015839; GO:0016020; GO:0043872; GO:1903401; GO:1990451	IPR002293;IPR004754;	Amino-acid transport;Antiport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0029; KW-0050; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P07364	CHER_ECOLI	286	b1884 JW1873	GO:0005829; GO:0005886; GO:0006479; GO:0006935; GO:0008022; GO:0008276; GO:0008983; GO:0098561	IPR026024;IPR022642;IPR000780;IPR022641;IPR036804;IPR029063;	Chemotaxis;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase	KW-0145; KW-0489; KW-0808; KW-0949; KW-1185
P08365	CHPS_ECOLI	83	b4224 JW5750	GO:0003677; GO:0030307	IPR007159;IPR037914;	DNA-binding;Reference proteome;Repressor;Toxin-antitoxin system;Transcription;Transcription regulation	KW-0238; KW-0678; KW-0804; KW-0805; KW-1185; KW-1277
P76290	CMOA_ECOLI	247	b1870 JW1859	GO:0002098; GO:0005829; GO:0016743; GO:1904047	IPR005271;IPR041698;IPR029063;	3D-structure;Reference proteome;S-adenosyl-L-methionine;Transferase	KW-0002; KW-0808; KW-0949; KW-1185
P0AEA8	CYSG_ECOLI	457	b3368 JW3331	GO:0004851; GO:0006970; GO:0009236; GO:0019354; GO:0032259; GO:0043115; GO:0051266; GO:0051287	IPR000878;IPR035996;IPR014777;IPR014776;IPR006366;IPR036291;IPR037115;IPR012409;IPR043152;IPR028281;IPR019478;IPR006367;IPR003043;	Cobalamin biosynthesis;Direct protein sequencing;Lyase;Methyltransferase;Multifunctional enzyme;NAD;Oxidoreductase;Phosphoprotein;Porphyrin biosynthesis;Reference proteome;S-adenosyl-L-methionine;Transferase	KW-0169; KW-0456; KW-0489; KW-0511; KW-0520; KW-0560; KW-0597; KW-0627; KW-0808; KW-0903; KW-0949; KW-1185
P16700	CYSP_ECOLI	338	b2425 JW2418	GO:0006790; GO:0008272; GO:0015419; GO:0015709; GO:0030288; GO:0036173; GO:0043199	IPR000957;IPR034408;IPR005669;	Direct protein sequencing;Periplasm;Reference proteome;Signal;Sulfate transport;Transport	KW-0574; KW-0732; KW-0764; KW-0813; KW-0903; KW-1185
P24228	DACB_ECOLI	477	b3182 JW3149	GO:0000270; GO:0004175; GO:0004180; GO:0004185; GO:0006508; GO:0008360; GO:0008658; GO:0009002; GO:0009252; GO:0009253; GO:0009254; GO:0016998; GO:0042597; GO:0043093; GO:0046677; GO:0071555	IPR012338;IPR000667;	3D-structure;Antibiotic resistance;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Hydrolase;Peptidoglycan synthesis;Periplasm;Reference proteome;Signal	KW-0002; KW-0046; KW-0131; KW-0132; KW-0133; KW-0378; KW-0573; KW-0574; KW-0732; KW-0903; KW-0961; KW-1185
P31459	DGOK_ECOLI	292	b3693 JW3670	GO:0005524; GO:0008671; GO:0034194	IPR007729;IPR042257;IPR042258;	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Transferase	KW-0067; KW-0418; KW-0547; KW-0808; KW-1185
P23827	ECOT_ECOLI	162	b2209 JW2197	GO:0004867; GO:0030288	IPR027438;IPR036198;IPR005658;IPR023084;	3D-structure;Direct protein sequencing;Disulfide bond;Periplasm;Protease inhibitor;Reference proteome;Serine protease inhibitor;Signal	KW-0002; KW-0574; KW-0646; KW-0722; KW-0732; KW-0903; KW-1015; KW-1185
P75901	EFEU_ECOLI	276	b4490 JW5141/JW1002	GO:0005886; GO:0015093; GO:0033573; GO:0034755	IPR005217;IPR004923;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P37661	EPTB_ECOLI	563	b3546 JW5660	GO:0005886; GO:0008484; GO:0009244; GO:0009245; GO:0016021; GO:0043838	IPR017850;IPR012549;IPR040423;IPR000917;	Cell inner membrane;Cell membrane;Direct protein sequencing;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	KW-0441; KW-0443; KW-0444; KW-0448; KW-0472; KW-0808; KW-0812; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185
P39176	ERFK_ECOLI	310	b1990 JW1968	GO:0008360; GO:0016757; GO:0018104; GO:0042597; GO:0071555; GO:0071972	IPR005490;IPR041597;IPR038063;	Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Glycosyltransferase;Hydrolase;Peptidoglycan synthesis;Periplasm;Reference proteome;Signal;Transferase	KW-0133; KW-0328; KW-0378; KW-0573; KW-0574; KW-0732; KW-0808; KW-0903; KW-0961; KW-1185
P75936	FLGD_ECOLI	231	b1075 JW1062	GO:0005829; GO:0009424; GO:0044781; GO:0071978	IPR005648;IPR025965;IPR025963;	Bacterial flagellum biogenesis;Reference proteome	KW-1005; KW-1185
P0A6R3	FIS_ECOLI	98	b3261 JW3229	GO:0000786; GO:0000976; GO:0000985; GO:0001121; GO:0001216; GO:0001217; GO:0003677; GO:0005829; GO:0006355; GO:0009295; GO:0009314; GO:0031421; GO:0032359; GO:0032993; GO:0034401; GO:0042803; GO:0043565; GO:0044374; GO:0045911	IPR005412;IPR009057;IPR002197;	3D-structure;Activator;Cytoplasm;DNA-binding;Direct protein sequencing;Reference proteome;Transcription;Transcription regulation	KW-0002; KW-0010; KW-0238; KW-0804; KW-0805; KW-0903; KW-0963; KW-1185
P16869	FHUE_ECOLI	729	b1102 JW1088	GO:0009279; GO:0015344; GO:0016021; GO:0038023; GO:0055072	IPR012910;IPR037066;IPR039423;IPR000531;IPR010916;IPR036942;IPR010917;IPR010105;	3D-structure;Cell outer membrane;Direct protein sequencing;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport	KW-0002; KW-0406; KW-0408; KW-0410; KW-0472; KW-0675; KW-0732; KW-0798; KW-0812; KW-0813; KW-0903; KW-0998; KW-1134; KW-1185
P39264	FIMI_ECOLI	179	b4315 JW5779	GO:0009289; GO:0009297; GO:0043709; GO:0043711	IPR000259;IPR036937;IPR008966;	3D-structure;Disulfide bond;Fimbrium;Reference proteome;Signal	KW-0002; KW-0281; KW-0732; KW-1015; KW-1185
P25437	FRMA_ECOLI	369	b0356 JW0347	GO:0004024; GO:0005737; GO:0005829; GO:0006069; GO:0008270; GO:0042802; GO:0046294; GO:0051903; GO:0106321; GO:0106322	IPR014183;IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;IPR020843;	Cytoplasm;Direct protein sequencing;Metal-binding;NAD;Oxidoreductase;Reference proteome;Zinc	KW-0479; KW-0520; KW-0560; KW-0862; KW-0903; KW-0963; KW-1185
P23910	ARAJ_ECOLI	394	b0396 JW0386	GO:0005886; GO:0016021; GO:0022857	IPR011701;IPR020846;IPR036259;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0AF08	APBC_ECOLI	369	b2113 JW2100	GO:0005524; GO:0005829; GO:0016226; GO:0016787; GO:0016887; GO:0046872; GO:0051539	IPR034904;IPR019591;IPR000808;IPR044304;IPR027417;IPR033756;	ATP-binding;Hydrolase;Iron;Iron-sulfur;Metal-binding;Nucleotide-binding;Reference proteome	KW-0067; KW-0378; KW-0408; KW-0411; KW-0479; KW-0547; KW-1185
P26459	APPC_ECOLI	514	b0978 JW0960	GO:0005886; GO:0006119; GO:0009055; GO:0009486; GO:0016020; GO:0016021; GO:0016682; GO:0019646; GO:0020037; GO:0046872; GO:0070069	IPR002585;	Cell inner membrane;Cell membrane;Direct protein sequencing;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport	KW-0249; KW-0349; KW-0408; KW-0472; KW-0479; KW-0812; KW-0813; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185; KW-1278
P37028	BTUF_ECOLI	266	b0158 JW0154	GO:0015889; GO:0030288; GO:0031419; GO:0042597	IPR002491;IPR023544;	3D-structure;Direct protein sequencing;Disulfide bond;Periplasm;Reference proteome;Signal;Transport	KW-0002; KW-0574; KW-0732; KW-0813; KW-0903; KW-1015; KW-1185
P20099	BISC_ECOLI	777	b3551 JW5940	GO:0009055; GO:0009061; GO:0030151; GO:0030288; GO:0033744; GO:0043546	IPR009010;IPR006658;IPR041954;IPR041460;IPR006657;IPR006656;IPR006655;	Metal-binding;Molybdenum;Oxidoreductase;Reference proteome	KW-0479; KW-0500; KW-0560; KW-1185
P0ABN5	DCUA_ECOLI	433	b4138 JW5735	GO:0005469; GO:0005886; GO:0005887; GO:0015556; GO:0015740; GO:0044271; GO:0140009	IPR004668;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P76251	DMLA_ECOLI	361	b1800 JW1789	GO:0000287; GO:0003862; GO:0005737; GO:0006108; GO:0009027; GO:0046553; GO:0051287	IPR019818;IPR024084;IPR011829;	Cytoplasm;Magnesium;Manganese;NAD;Oxidoreductase;Reference proteome	KW-0460; KW-0464; KW-0520; KW-0560; KW-0963; KW-1185
P0ACK5	DEOR_ECOLI	252	b0840 JW0824	GO:0000986; GO:0003700; GO:2000143	IPR014036;IPR001034;IPR037171;IPR018356;	DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	KW-0238; KW-0678; KW-0804; KW-0805; KW-1185
P77302	DGCM_ECOLI	410	b1341 JW5206	GO:0005525; GO:0005886; GO:0042802; GO:0043709; GO:0046872; GO:0051091; GO:0052621; GO:1900233; GO:1902201	IPR000160;IPR029787;IPR000014;IPR000700;IPR035965;IPR013656;IPR043128;	GTP-binding;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Repeat;Transferase	KW-0342; KW-0460; KW-0479; KW-0547; KW-0677; KW-0808; KW-1185
